Timestamp,Filename,Origin (Easting[m],Northing[m],Height[m]),Direction (Easting,Roll(X)[deg],Pitch(Y)[deg],Yaw(Z)[deg],Omega[deg],Phi[deg],Kappa[deg]
399332968.420205,240509_233610858.jpg,486979.622,7039078.732,441.09,-0.948379749,-1.58261223,4.239227014,-162.069190676,-177.184973645,3.538310658,161.923526922
399332968.983005,240509_233611421.jpg,486989.034,7039081.429,441.655,-0.956716628,-1.364770293,4.056031561,-163.652125029,-177.545044678,3.500980071,163.528634964
399332969.545805,240509_233611985.jpg,486998.52,7039083.844,442.194,-0.964631951,-1.56901785,3.507820348,-165.216827849,-177.585036144,2.985046361,165.105755902
399332970.108606,240509_233612549.jpg,487008.051,7039086.012,442.66,-0.971513073,-1.41196199,3.226186438,-166.783837811,-177.885445233,2.812358276,166.692072535
399332970.671406,240509_233613113.jpg,487017.624,7039087.906,443.093,-0.97747285,-1.489466592,2.931858305,-168.298146813,-177.944761399,2.563620632,168.213963367
399332971.234207,240509_233613677.jpg,487027.223,7039089.54,443.452,-0.982082436,-1.733017623,2.934425489,-169.684404007,-177.767277698,2.571101891,169.589843663
399332971.797007,240509_233614241.jpg,487036.875,7039090.967,443.778,-0.986442898,-1.584319022,2.474353575,-171.052162102,-178.048409166,2.193192475,170.980534241
399332972.359807,240509_233614805.jpg,487046.554,7039092.146,444.051,-0.990193574,-1.686071347,2.220395163,-172.483144354,-178.036438943,1.976376664,172.416557737
399332972.933008,240509_233615379.jpg,487056.415,7039093.102,444.283,-0.993772584,-1.440518273,1.794842643,-174.115837812,-178.381823901,1.634156127,174.070160055
399332973.516308,240509_233615964.jpg,487066.386,7039093.761,444.451,-0.996409519,-1.542082778,1.588842493,-175.761423872,-178.343551118,1.467160372,175.718807774
399332974.099608,240509_233616548.jpg,487076.236,7039094.145,444.598,-0.998201606,-1.526820759,0.862107185,-177.178878897,-178.431755968,0.783516556,177.156663924
399332974.693409,240509_233617143.jpg,487086.109,7039094.298,444.652,-0.999163651,-1.166068252,0.663062486,-178.607235926,-178.817196212,0.632458015,178.593955795
399332975.287209,240509_233617738.jpg,487095.86,7039094.193,444.669,-0.99950316,-1.218908085,0.384780247,-179.99620357,-178.780158362,0.38293326,179.988039255
399332975.892009,240509_233618344.jpg,487105.706,7039093.886,444.628,-0.999287701,-0.588690791,0.255170902,178.776094251,-179.415702775,0.266110662,-178.778761638
399332976.49681,240509_233618950.jpg,487115.553,7039093.376,444.542,-0.99882902,-0.185941842,-0.094258013,177.863029936,-179.80930579,-0.088487817,-177.862722522
399332977.10161,240509_233619556.jpg,487125.433,7039092.738,444.388,-0.998503104,0.172869645,-0.509601927,177.458997982,179.851405047,-0.517592021,-177.460418185
399332977.706411,240509_233620162.jpg,487135.38,7039092.022,444.188,-0.998204176,0.407037091,-0.886855951,177.190318791,179.638486315,-0.906188592,-177.19629385
399332978.299411,240509_233620756.jpg,487145.21,7039091.297,443.923,-0.998197566,0.76062943,-0.967736624,177.209297562,179.289050053,-1.003924019,-177.221912802
399332978.892411,240509_233621350.jpg,487155.165,7039090.579,443.625,-0.998043605,1.259053874,-1.483671136,177.254814181,178.814997419,-1.541812169,-177.286998844
399332979.475012,240509_233621934.jpg,487165.075,7039089.878,443.253,-0.9978807,1.863726182,-1.803529555,177.251085551,178.226189199,-1.889483643,-177.309589526
399332980.046012,240509_233622506.jpg,487174.939,7039089.161,442.854,-0.997735097,2.077340883,-1.996030894,177.210148329,178.023278367,-2.092889418,-177.28234972
399332980.606412,240509_233623068.jpg,487184.78,7039088.456,442.39,-0.997764083,2.636315398,-1.950863498,177.212298898,177.462611538,-2.07415912,-177.303028634
399332981.166813,240509_233623629.jpg,487194.789,7039087.71,441.944,-0.997644192,2.424943674,-2.178447697,177.239400578,177.683411881,-2.290022187,-177.331702916
399332981.715113,240509_233624179.jpg,487204.728,7039086.985,441.487,-0.997767234,2.549942963,-2.082636006,177.312942128,177.551236312,-2.197168756,-177.406151233
399332982.250513,240509_233624715.jpg,487214.576,7039086.286,441.033,-0.997845134,2.691432587,-2.082196823,177.40956787,177.406125358,-2.198753254,-177.508157825
399332982.785914,240509_233625252.jpg,487224.567,7039085.569,440.587,-0.997900376,2.384139813,-2.13500165,177.525134074,177.711003401,-2.233413356,-177.614076114
399332983.311214,240509_233625778.jpg,487234.499,7039084.883,440.133,-0.997993894,2.281906587,-2.056004495,177.583087701,177.80771126,-2.148148519,-177.665038899
399332983.825314,240509_233626293.jpg,487244.352,7039084.229,439.676,-0.997932508,2.474908523,-2.221851671,177.647051361,177.618953565,-2.318738764,-177.743124015
399332984.339415,240509_233626808.jpg,487254.325,7039083.564,439.183,-0.997972948,2.336143663,-2.177397622,177.661961064,177.755314,-2.268346092,-177.750691712
399332984.843315,240509_233627313.jpg,487264.207,7039082.908,438.719,-0.997735893,2.45993504,-2.395217233,177.544372692,177.645194836,-2.495284857,-177.646966444
399332985.347215,240509_233627818.jpg,487274.139,7039082.24,438.259,-0.998176827,2.749577015,-1.663607006,177.530271342,177.32604177,-1.778338383,-177.611621523
399332985.851115,240509_233628323.jpg,487284.168,7039081.606,437.827,-0.998188606,3.817538266,-1.644758374,177.53324488,176.258101243,-1.803545235,-177.646888914
399332986.343116,240509_233628816.jpg,487294.002,7039080.949,437.512,-0.998577171,3.829124615,-0.844999789,177.65008181,176.211381836,-0.999766296,-177.711369565
399332986.835116,240509_233629309.jpg,487303.89,7039080.284,437.289,-0.998540946,3.435587018,-1.057454227,177.685659165,176.612203396,-1.193636312,-177.752629832
399332987.327116,240509_233629802.jpg,487313.748,7039079.643,437.047,-0.998578946,3.576547065,-0.945695248,177.691201522,176.466909234,-1.087466177,-177.75423373
399332987.819117,240509_233630295.jpg,487323.563,7039079.002,436.796,-0.998679796,3.460167019,-0.740135187,177.760641672,176.574043257,-0.873922263,-177.809114977
399332988.311117,240509_233630788.jpg,487333.362,7039078.409,436.606,-0.99877702,3.96564059,-0.848544394,177.949692585,176.069951932,-0.988216489,-178.012949884
399332988.803117,240509_233631281.jpg,487343.146,7039077.814,436.376,-0.999004267,3.593462249,-0.738043898,178.301102801,176.4327247,-0.843327309,-178.350498622
399332989.295117,240509_233631774.jpg,487352.918,7039077.336,436.206,-0.999397238,4.120991685,-0.32369482,179.136671864,175.887633941,-0.385854926,-179.162190219
399332989.787118,240509_233632267.jpg,487362.665,7039077.007,436.106,-0.999437565,3.867395962,0.017027334,-179.234617031,176.136432454,0.067241313,179.23741366
399332990.290118,240509_233632771.jpg,487372.596,7039076.985,436.019,-0.99847898,4.099393901,-0.547198282,-177.434134387,175.883530956,-0.362781698,177.401514439
399332990.793118,240509_233633275.jpg,487382.44,7039077.261,435.916,-0.996628457,3.802970593,-0.194702144,-175.640024917,176.196479385,0.093905823,175.636652028
399332991.296119,240509_233633779.jpg,487392.242,7039077.826,435.825,-0.993543101,3.326114781,-0.051898164,-173.727694015,176.691098107,0.310235048,173.735113463
399332991.799119,240509_233634283.jpg,487402.003,7039078.753,435.752,-0.988090223,3.122939698,0.354447545,-171.331451927,176.968716639,0.818472306,171.362704942
399332992.302119,240509_233634787.jpg,487411.738,7039080.119,435.668,-0.980754976,3.505062633,0.160915335,-168.879311363,176.594529572,0.831451647,168.908897647
399332992.80512,240509_233635291.jpg,487421.4,7039081.898,435.553,-0.971411224,3.717791986,0.285240687,-166.381015442,176.456389232,1.149502395,166.425765144
399332993.30812,240509_233635795.jpg,487430.986,7039084.071,435.515,-0.960246179,3.335726668,0.642597894,-163.896241235,176.975182705,1.538894218,163.955492046
399332993.82182,240509_233636309.jpg,487440.696,7039086.694,435.475,-0.948780943,2.72469527,0.107579527,-161.664681641,177.449828184,0.95701618,161.6885
399332994.335521,240509_233636824.jpg,487450.289,7039089.69,435.4,-0.938736347,2.559336275,0.04823118,-159.914479553,177.615212743,0.922139091,159.934715139
399332994.849221,240509_233637339.jpg,487459.78,7039092.96,435.32,-0.928859497,2.283626897,0.330810587,-158.328229147,178.001925998,1.148326814,158.354792869
399332995.362921,240509_233637854.jpg,487469.187,7039096.503,435.292,-0.920844295,2.488871786,0.115948923,-157.114240549,177.754310897,1.072492081,157.13774029
399332995.876621,240509_233638368.jpg,487478.532,7039100.187,435.216,-0.917790308,2.237551423,0.091587618,-156.66808959,177.983843758,0.968213771,156.686878613
399332996.390322,240509_233638883.jpg,487487.868,7039103.92,435.119,-0.915706964,1.662565639,-0.156995722,-156.36870409,178.416091916,0.521059943,156.3736132
399332996.904022,240509_233639398.jpg,487497.166,7039107.709,435.051,-0.915850111,1.711075076,0.115530649,-156.388949159,178.480445722,0.789296631,156.401106902
399332997.417722,240509_233639912.jpg,487506.479,7039111.481,435.013,-0.916039497,1.429925938,0.113836718,-156.416060374,178.736979775,0.674639443,156.424884315
399332997.931423,240509_233640427.jpg,487515.787,7039115.285,434.949,-0.915564674,1.899820656,0.108392347,-156.348097922,178.30530257,0.859493535,156.362571655
399332998.445123,240509_233640942.jpg,487525.107,7039119.112,434.877,-0.914534215,2.28691792,-0.018497031,-156.201065738,177.902319701,0.90395143,156.217217441
399332998.958823,240509_233641457.jpg,487534.418,7039122.967,434.8,-0.912426511,2.466997658,0.322944643,-155.905425533,177.881678808,1.299369718,155.936346304
399332999.472524,240509_233641971.jpg,487543.755,7039126.838,434.738,-0.911923796,1.97018079,0.44140064,-155.836689068,178.384885356,1.206775946,155.861229301
